kabupaten_kota_asli,tahun,cluster
Kab. Balangan,2018,0
Kab. Balangan,2019,0
Kab. Balangan,2020,1
Kab. Balangan,2021,1
Kab. Balangan,2022,1
Kab. Balangan,2023,0
Kab. Balangan,2024,0
Kab. Balangan,2025,0
Kota Balikpapan,2019,0
Kota Balikpapan,2020,1
Kota Balikpapan,2021,1
Kota Balikpapan,2022,1
Kota Balikpapan,2023,0
Kota Balikpapan,2024,0
Kota Balikpapan,2025,0
Kab. Banjar,2018,2
Kab. Banjar,2019,4
Kab. Banjar,2020,2
Kab. Banjar,2021,2
Kab. Banjar,2022,2
Kab. Banjar,2023,4
Kab. Banjar,2024,2
Kab. Banjar,2025,2
Kota Banjarbaru,2018,3
Kota Banjarbaru,2019,4
Kota Banjarbaru,2020,3
Kota Banjarbaru,2021,3
Kota Banjarbaru,2022,3
Kota Banjarbaru,2023,4
Kota Banjarbaru,2024,3
Kota Banjarbaru,2025,3
Kota Banjarmasin,2018,3
Kota Banjarmasin,2019,4
Kota Banjarmasin,2020,3
Kota Banjarmasin,2021,3
Kota Banjarmasin,2022,3
Kota Banjarmasin,2023,4
Kota Banjarmasin,2024,3
Kota Banjarmasin,2025,3
Kab. Barito Kuala,2018,2
Kab. Barito Kuala,2019,4
Kab. Barito Kuala,2020,2
Kab. Barito Kuala,2021,2
Kab. Barito Kuala,2022,2
Kab. Barito Kuala,2023,4
Kab. Barito Kuala,2024,2
Kab. Barito Kuala,2025,2
Kab. Barito Selatan,2018,0
Kab. Barito Selatan,2019,0
Kab. Barito Selatan,2020,1
Kab. Barito Selatan,2021,1
Kab. Barito Selatan,2022,1
Kab. Barito Selatan,2023,0
Kab. Barito Selatan,2024,0
Kab. Barito Selatan,2025,1
Kab. Barito Timur,2018,1
Kab. Barito Timur,2019,0
Kab. Barito Timur,2020,1
Kab. Barito Timur,2021,1
Kab. Barito Timur,2022,1
Kab. Barito Timur,2023,0
Kab. Barito Timur,2024,1
Kab. Barito Timur,2025,1
Kab. Barito Utara,2018,0
Kab. Barito Utara,2019,0
Kab. Barito Utara,2020,1
Kab. Barito Utara,2021,1
Kab. Barito Utara,2022,1
Kab. Barito Utara,2023,0
Kab. Barito Utara,2024,1
Kab. Barito Utara,2025,1
Kab. Bengkayang,2018,1
Kab. Bengkayang,2019,0
Kab. Bengkayang,2020,1
Kab. Bengkayang,2021,1
Kab. Bengkayang,2022,1
Kab. Bengkayang,2023,1
Kab. Bengkayang,2024,1
Kab. Bengkayang,2025,1
Kab. Berau,2018,1
Kab. Berau,2019,0
Kab. Berau,2020,1
Kab. Berau,2021,1
Kab. Berau,2022,1
Kab. Berau,2023,0
Kab. Berau,2024,1
Kab. Berau,2025,1
Kota Bontang,2018,3
Kota Bontang,2019,4
Kota Bontang,2020,3
Kota Bontang,2021,3
Kota Bontang,2022,3
Kota Bontang,2023,4
Kota Bontang,2025,3
Kab. Bulungan,2018,3
Kab. Bulungan,2019,3
Kab. Bulungan,2020,3
Kab. Bulungan,2021,3
Kab. Bulungan,2022,3
Kab. Bulungan,2023,3
Kab. Bulungan,2024,3
Kab. Bulungan,2025,3
Kab. Gunung Mas,2018,0
Kab. Gunung Mas,2019,0
Kab. Gunung Mas,2020,1
Kab. Gunung Mas,2021,1
Kab. Gunung Mas,2022,1
Kab. Gunung Mas,2023,0
Kab. Gunung Mas,2024,1
Kab. Gunung Mas,2025,1
Kab. Hulu Sungai Selatan,2018,2
Kab. Hulu Sungai Selatan,2019,4
Kab. Hulu Sungai Selatan,2020,2
Kab. Hulu Sungai Selatan,2021,1
Kab. Hulu Sungai Selatan,2022,1
Kab. Hulu Sungai Selatan,2023,0
Kab. Hulu Sungai Selatan,2024,0
Kab. Hulu Sungai Selatan,2025,0
Kab. Hulu Sungai Tengah,2018,0
Kab. Hulu Sungai Tengah,2019,0
Kab. Hulu Sungai Tengah,2020,1
Kab. Hulu Sungai Tengah,2021,1
Kab. Hulu Sungai Tengah,2022,1
Kab. Hulu Sungai Tengah,2023,0
Kab. Hulu Sungai Tengah,2024,0
Kab. Hulu Sungai Tengah,2025,0
Kab. Hulu Sungai Utara,2018,0
Kab. Hulu Sungai Utara,2019,0
Kab. Hulu Sungai Utara,2020,1
Kab. Hulu Sungai Utara,2021,1
Kab. Hulu Sungai Utara,2022,1
Kab. Hulu Sungai Utara,2023,0
Kab. Hulu Sungai Utara,2024,0
Kab. Hulu Sungai Utara,2025,0
Kab. Kapuas,2018,2
Kab. Kapuas,2019,4
Kab. Kapuas,2020,2
Kab. Kapuas,2021,2
Kab. Kapuas,2022,2
Kab. Kapuas,2023,2
Kab. Kapuas,2024,2
Kab. Kapuas,2025,2
Kab. Kapuas Hulu,2018,1
Kab. Kapuas Hulu,2019,0
Kab. Kapuas Hulu,2020,1
Kab. Kapuas Hulu,2021,1
Kab. Kapuas Hulu,2022,1
Kab. Kapuas Hulu,2023,1
Kab. Kapuas Hulu,2024,1
Kab. Kapuas Hulu,2025,1
Kab. Katingan,2018,0
Kab. Katingan,2019,4
Kab. Katingan,2020,3
Kab. Katingan,2021,3
Kab. Katingan,2022,3
Kab. Katingan,2023,3
Kab. Katingan,2024,3
Kab. Katingan,2025,3
Kab. Kayong Utara,2018,0
Kab. Kayong Utara,2019,0
Kab. Kayong Utara,2020,1
Kab. Kayong Utara,2021,1
Kab. Kayong Utara,2022,1
Kab. Kayong Utara,2023,0
Kab. Kayong Utara,2024,0
Kab. Kayong Utara,2025,1
Kab. Ketapang,2018,4
Kab. Ketapang,2019,4
Kab. Ketapang,2020,3
Kab. Ketapang,2021,3
Kab. Ketapang,2022,3
Kab. Ketapang,2023,3
Kab. Ketapang,2024,3
Kab. Ketapang,2025,3
Kab. Kotabaru,2018,3
Kab. Kotabaru,2019,4
Kab. Kotabaru,2020,3
Kab. Kotabaru,2021,3
Kab. Kotabaru,2022,3
Kab. Kotabaru,2023,4
Kab. Kotabaru,2024,3
Kab. Kotabaru,2025,3
Kab. Kotawaringin Barat,2018,4
Kab. Kotawaringin Barat,2019,4
Kab. Kotawaringin Barat,2020,3
Kab. Kotawaringin Barat,2021,3
Kab. Kotawaringin Barat,2022,3
Kab. Kotawaringin Barat,2023,3
Kab. Kotawaringin Barat,2024,3
Kab. Kotawaringin Barat,2025,0
Kab. Kotawaringin Timur,2018,4
Kab. Kotawaringin Timur,2019,4
Kab. Kotawaringin Timur,2020,3
Kab. Kotawaringin Timur,2021,3
Kab. Kotawaringin Timur,2022,3
Kab. Kotawaringin Timur,2023,3
Kab. Kotawaringin Timur,2024,3
Kab. Kotawaringin Timur,2025,3
Kab. Kubu Raya,2018,2
Kab. Kubu Raya,2019,2
Kab. Kubu Raya,2020,2
Kab. Kubu Raya,2021,2
Kab. Kubu Raya,2022,2
Kab. Kubu Raya,2023,0
Kab. Kubu Raya,2024,0
Kab. Kubu Raya,2025,2
Kab. Kutai Barat,2018,1
Kab. Kutai Barat,2019,0
Kab. Kutai Barat,2020,1
Kab. Kutai Barat,2021,1
Kab. Kutai Barat,2022,1
Kab. Kutai Barat,2023,0
Kab. Kutai Barat,2024,1
Kab. Kutai Barat,2025,1
Kab. Kutai Kartanegara,2018,0
Kab. Kutai Kartanegara,2019,0
Kab. Kutai Kartanegara,2020,1
Kab. Kutai Kartanegara,2021,1
Kab. Kutai Kartanegara,2022,1
Kab. Kutai Kartanegara,2023,0
Kab. Kutai Kartanegara,2024,0
Kab. Kutai Kartanegara,2025,0
Kab. Kutai Timur,2018,0
Kab. Kutai Timur,2019,0
Kab. Kutai Timur,2020,1
Kab. Kutai Timur,2021,1
Kab. Kutai Timur,2022,1
Kab. Kutai Timur,2023,0
Kab. Kutai Timur,2024,0
Kab. Kutai Timur,2025,1
Kab. Lamandau,2018,0
Kab. Lamandau,2019,4
Kab. Lamandau,2020,1
Kab. Lamandau,2021,1
Kab. Lamandau,2022,1
Kab. Lamandau,2023,0
Kab. Lamandau,2024,0
Kab. Lamandau,2025,0
Kab. Landak,2018,1
Kab. Landak,2019,1
Kab. Landak,2020,1
Kab. Landak,2021,1
Kab. Landak,2022,1
Kab. Landak,2023,1
Kab. Landak,2024,1
Kab. Landak,2025,2
Kab. Mahakam Ulu,2018,1
Kab. Mahakam Ulu,2019,0
Kab. Mahakam Ulu,2020,1
Kab. Mahakam Ulu,2021,1
Kab. Mahakam Ulu,2022,1
Kab. Mahakam Ulu,2023,1
Kab. Mahakam Ulu,2024,1
Kab. Mahakam Ulu,2025,1
Kab. Malinau,2018,1
Kab. Malinau,2019,1
Kab. Malinau,2020,1
Kab. Malinau,2021,1
Kab. Malinau,2022,1
Kab. Malinau,2023,1
Kab. Malinau,2024,1
Kab. Malinau,2025,1
Kab. Melawi,2018,0
Kab. Melawi,2019,0
Kab. Melawi,2020,1
Kab. Melawi,2021,1
Kab. Melawi,2022,1
Kab. Melawi,2023,1
Kab. Melawi,2024,0
Kab. Melawi,2025,1
Kab. Mempawah,2018,4
Kab. Mempawah,2019,4
Kab. Mempawah,2020,3
Kab. Mempawah,2021,3
Kab. Mempawah,2022,3
Kab. Mempawah,2023,3
Kab. Mempawah,2024,4
Kab. Mempawah,2025,3
Kab. Murung Raya,2018,1
Kab. Murung Raya,2019,0
Kab. Murung Raya,2020,1
Kab. Murung Raya,2021,1
Kab. Murung Raya,2022,1
Kab. Murung Raya,2023,0
Kab. Murung Raya,2024,1
Kab. Murung Raya,2025,1
Kab. Nunukan,2018,1
Kab. Nunukan,2019,1
Kab. Nunukan,2020,1
Kab. Nunukan,2021,1
Kab. Nunukan,2022,1
Kab. Nunukan,2023,1
Kab. Nunukan,2024,1
Kab. Nunukan,2025,1
Kota Palangka Raya,2018,0
Kota Palangka Raya,2019,0
Kota Palangka Raya,2021,1
Kota Palangka Raya,2022,1
Kota Palangka Raya,2023,0
Kota Palangka Raya,2024,0
Kota Palangka Raya,2025,1
Kab. Paser,2018,1
Kab. Paser,2019,0
Kab. Paser,2020,1
Kab. Paser,2021,1
Kab. Paser,2022,1
Kab. Paser,2023,0
Kab. Paser,2024,0
Kab. Paser,2025,0
Kab. Penajam Paser Utara,2018,1
Kab. Penajam Paser Utara,2019,0
Kab. Penajam Paser Utara,2020,1
Kab. Penajam Paser Utara,2021,1
Kab. Penajam Paser Utara,2022,1
Kab. Penajam Paser Utara,2023,0
Kab. Penajam Paser Utara,2024,0
Kab. Penajam Paser Utara,2025,0
Kota Pontianak,2018,1
Kota Pontianak,2019,0
Kota Pontianak,2020,1
Kota Pontianak,2021,1
Kota Pontianak,2022,1
Kota Pontianak,2023,1
Kota Pontianak,2024,1
Kota Pontianak,2025,1
Kab. Pulang Pisau,2018,3
Kab. Pulang Pisau,2019,4
Kab. Pulang Pisau,2020,2
Kab. Pulang Pisau,2021,2
Kab. Pulang Pisau,2022,2
Kab. Pulang Pisau,2023,4
Kab. Pulang Pisau,2024,2
Kab. Pulang Pisau,2025,0
Kota Samarinda,2018,0
Kota Samarinda,2019,0
Kota Samarinda,2020,1
Kota Samarinda,2021,1
Kota Samarinda,2022,1
Kota Samarinda,2023,0
Kota Samarinda,2024,0
Kota Samarinda,2025,0
Kab. Sambas,2018,2
Kab. Sambas,2019,2
Kab. Sambas,2020,2
Kab. Sambas,2021,2
Kab. Sambas,2022,2
Kab. Sambas,2023,2
Kab. Sambas,2024,2
Kab. Sambas,2025,2
Kab. Sanggau,2018,1
Kab. Sanggau,2019,1
Kab. Sanggau,2020,1
Kab. Sanggau,2021,1
Kab. Sanggau,2022,1
Kab. Sanggau,2023,1
Kab. Sanggau,2024,1
Kab. Sanggau,2025,2
Kab. Sekadau,2018,1
Kab. Sekadau,2019,0
Kab. Sekadau,2020,1
Kab. Sekadau,2021,1
Kab. Sekadau,2022,1
Kab. Sekadau,2023,1
Kab. Sekadau,2024,1
Kab. Sekadau,2025,1
Kab. Seruyan,2018,4
Kab. Seruyan,2019,4
Kab. Seruyan,2020,3
Kab. Seruyan,2021,3
Kab. Seruyan,2022,3
Kab. Seruyan,2023,3
Kab. Seruyan,2024,3
Kab. Seruyan,2025,0
Kota Singkawang,2018,3
Kota Singkawang,2019,3
Kota Singkawang,2020,3
Kota Singkawang,2021,3
Kota Singkawang,2022,3
Kota Singkawang,2023,3
Kota Singkawang,2024,3
Kota Singkawang,2025,3
Kab. Sintang,2018,1
Kab. Sintang,2019,0
Kab. Sintang,2020,1
Kab. Sintang,2021,1
Kab. Sintang,2022,1
Kab. Sintang,2023,1
Kab. Sintang,2024,1
Kab. Sintang,2025,1
Kab. Sukamara,2018,0
Kab. Sukamara,2019,4
Kab. Sukamara,2020,1
Kab. Sukamara,2021,1
Kab. Sukamara,2022,1
Kab. Sukamara,2023,0
Kab. Sukamara,2024,0
Kab. Sukamara,2025,0
Kab. Tabalong,2018,0
Kab. Tabalong,2019,0
Kab. Tabalong,2020,1
Kab. Tabalong,2021,1
Kab. Tabalong,2022,1
Kab. Tabalong,2023,0
Kab. Tabalong,2024,0
Kab. Tabalong,2025,0
Kab. Tana Tidung,2018,1
Kab. Tana Tidung,2019,1
Kab. Tana Tidung,2020,1
Kab. Tana Tidung,2021,1
Kab. Tana Tidung,2022,1
Kab. Tana Tidung,2023,1
Kab. Tana Tidung,2024,1
Kab. Tana Tidung,2025,1
Kab. Tanah Bumbu,2018,0
Kab. Tanah Bumbu,2019,4
Kab. Tanah Bumbu,2020,1
Kab. Tanah Bumbu,2021,0
Kab. Tanah Bumbu,2022,1
Kab. Tanah Bumbu,2023,4
Kab. Tanah Bumbu,2024,0
Kab. Tanah Bumbu,2025,0
Kab. Tanah Laut,2018,3
Kab. Tanah Laut,2019,4
Kab. Tanah Laut,2020,3
Kab. Tanah Laut,2021,3
Kab. Tanah Laut,2022,3
Kab. Tanah Laut,2023,4
Kab. Tanah Laut,2024,3
Kab. Tanah Laut,2025,2
Kab. Tapin,2018,2
Kab. Tapin,2019,4
Kab. Tapin,2020,2
Kab. Tapin,2021,2
Kab. Tapin,2022,3
Kab. Tapin,2023,4
Kab. Tapin,2024,3
Kab. Tapin,2025,2
Kota Tarakan,2018,3
Kota Tarakan,2019,3
Kota Tarakan,2020,3
Kota Tarakan,2021,3
Kota Tarakan,2022,3
Kota Tarakan,2023,3
Kota Tarakan,2024,3
Kota Tarakan,2025,3
